image_path,label
dataset/normal/istorie-longhair.jpg,0
dataset/normal/1-pisica.jpg,0
dataset/normal/j0o0urrvmahaeqnkojkzdngqb816ctmz6dm2v5m1.jpg,0
dataset/normal/e4710ea0caa54c5d561a4702a971c28e.jpg,0
dataset/normal/pisica-persana8.jpg,0
dataset/normal/lucruri-despre-pisici.jpg,0
dataset/normal/ZDU5Zjc2MDYyM2RmNDI2MjAxYmU2OWIyOTA=.thumb.jpg,0
dataset/normal/mikhail-vasilyev-ifxjddqk-0u-unsplash-331835.jpg,0
dataset/normal/british-longhair.jpg,0
dataset/normal/Cati-ani-traiesc-pisicile-birmaneza.jpg,0
dataset/normal/hq720.jpg,0
dataset/sepia/istorie-longhair.jpg,1
dataset/sepia/1-pisica.jpg,1
dataset/sepia/j0o0urrvmahaeqnkojkzdngqb816ctmz6dm2v5m1.jpg,1
dataset/sepia/e4710ea0caa54c5d561a4702a971c28e.jpg,1
dataset/sepia/pisica-persana8.jpg,1
dataset/sepia/lucruri-despre-pisici.jpg,1
dataset/sepia/ZDU5Zjc2MDYyM2RmNDI2MjAxYmU2OWIyOTA=.thumb.jpg,1
dataset/sepia/mikhail-vasilyev-ifxjddqk-0u-unsplash-331835.jpg,1
dataset/sepia/british-longhair.jpg,1
dataset/sepia/Cati-ani-traiesc-pisicile-birmaneza.jpg,1
dataset/sepia/hq720.jpg,1
